stop,plotStop,treat,dayID,day,hour,selection,seconds,minutes,lowFreq,highFreq,avgPowerDensity,maxPower ,energy,deltaTime,proximity
1,1,c,1,604,630,1,9750.1,0,5119.2,9679.7,-83.6,-67.8,71,1.715,f
1,1,c,1,604,630,2,9768.3,0.3,5073.2,9541.5,-84.4,-72.5,69.8,1.619,f
1,1,c,1,604,630,3,9781.7,0.53,4911.9,9426.3,-84.3,-70.3,70.9,2.005,f
1,1,c,1,604,630,4,9797.4,0.79,5073.2,9173,-84.3,-70.2,70.3,1.974,f
1,1,c,1,604,630,5,9809.8,1,5004.1,9725.8,-83.3,-63.6,71.9,1.918,f
1,1,c,1,604,630,6,9822.9,1.21,4888.9,9541.5,-83.7,-65.6,71.3,1.896,ff
1,1,c,1,604,630,7,9838,1.47,5257.4,9126.9,-84,-69.2,69.9,1.749,ff
1,1,c,1,604,630,8,9856.8,1.78,5234.4,9288.1,-84.2,-71.7,69.3,1.489,ff
1,1,c,1,604,630,9,9870.4,2.01,5234.4,9495.4,-83.5,-67.1,71.5,2.022,n
1,1,c,1,604,630,10,9882.2,2.2,5211.4,9610.6,-83.6,-65.4,71.7,2.117,n
1,1,c,1,604,630,11,9946.7,3.28,5211.4,8735.4,-80.4,-61.9,73.8,1.987,n
1,1,c,1,604,630,12,9963.8,3.56,5257.4,9196,-82.4,-63.4,73,2.39,f
1,1,c,1,604,630,13,9976.5,3.77,4958,9449.4,-83.7,-67.1,72.3,2.394,n
1,1,c,1,604,630,14,9991.2,4.02,5464.7,9311.2,-83.5,-67.3,71.3,2.134,n
1,1,c,1,604,630,15,10005.1,4.25,5211.4,9702.7,-83.1,-64.6,72.7,2.295,n
1,1,c,1,604,630,16,10023.7,4.56,5303.5,9933.1,-83.1,-63.3,72.8,2.355,n
1,1,c,1,604,630,17,10037.2,4.79,5280.5,9702.7,-83.5,-65.9,72.6,2.503,n
1,1,c,1,604,630,18,10074.4,5.41,5073.2,9887,-83.9,-65.9,71.3,1.901,f
1,1,c,1,604,630,19,10086.2,5.6,5142.3,9541.5,-78.8,-59.8,77,2.368,nn
1,1,c,1,604,630,20,10102.7,5.88,4911.9,9403.3,-80.7,-61.5,75.4,2.468,nn
1,1,c,1,604,630,21,10117.2,6.12,5372.6,9587.6,-79.9,-59.9,76.2,2.632,nn
1,1,c,1,604,630,22,10131.8,6.36,5211.4,9288.1,-78.3,-58.7,78.1,2.892,nn
1,1,c,1,604,630,23,10149.2,6.65,5234.4,9380.3,-78.6,-58.7,77.9,2.871,nn
1,1,c,1,604,630,24,10166.4,6.94,5326.5,9472.4,-76.8,-56.3,79,2.485,nn
1,1,c,1,604,630,25,10184.9,7.25,5027.1,9449.4,-77.2,-56,79.2,2.645,nn
1,1,c,1,604,630,26,10200.7,7.51,5050.1,9518.5,-78.4,-59.4,77.4,2.325,nn
1,1,c,1,604,630,27,10214.3,7.74,5464.7,9633.6,-76.4,-58.1,79.1,2.355,nn
1,1,c,1,604,630,28,10228.2,7.97,5050.1,9794.9,-76.8,-55.1,79.3,2.338,nn
1,1,c,1,604,630,29,10240.6,8.17,5165.3,9979.1,-78,-54.6,80.2,3.732,nn
1,1,c,1,604,630,30,10260.1,8.5,4842.8,9587.6,-79,-59.3,77.8,2.689,nn
1,1,c,2,604,830,1,15278.5,0,5625.9,8827.5,-79.1,-58.7,75,2.165,nn
1,1,c,2,604,830,2,15295.4,0.28,5810.2,8758.4,-78.4,-58.9,75.5,2.221,nn
1,1,c,2,604,830,3,15310.6,0.54,5902.3,8850.5,-79.5,-61.6,74.5,2.256,nn
1,1,c,2,604,830,4,15323.8,0.76,5888.3,8650.7,-79.7,-63.6,74.1,2.321,nn
1,1,c,2,604,830,5,15339.4,1.01,5710.1,8918,-78.2,-57.3,76.3,2.355,nn
1,1,c,2,604,830,6,15353.7,1.25,5621,8680.4,-77.1,-58.6,77,2.269,nn
1,1,c,3,604,1900,1,5815.2,0,5464.7,8389.9,-78.8,-58.6,73.7,1.653,nn
1,1,c,3,604,1900,2,5875.1,1,5441.7,8574.1,-81.8,-64.5,69.1,1.078,n
1,1,c,3,604,1900,3,5893.3,1.3,5211.4,8343.8,-76.9,-56.6,75.7,1.531,nn
1,1,c,3,604,1900,4,5921.8,1.78,5810.2,8689.3,-83.8,-67,68.2,1.506,f
1,1,c,3,604,1900,5,5928,1.88,5257.4,8435.9,-78.7,-60.8,73.4,1.445,nn
1,1,c,3,604,1900,6,5941.1,2.1,5257.4,8389.9,-76.8,-57,75.4,1.488,nn
1,1,c,3,604,1900,7,5975.3,2.67,5372.6,8136.5,-78.9,-63.9,72.3,1.323,n
1,1,c,3,604,1900,8,6310.8,8.26,5902.3,8251.7,-78.9,-62.7,72.3,1.463,n
1,1,c,3,604,1900,9,6334.8,8.66,5487.8,8505,-77.2,-62.5,74.5,1.347,n
1,1,c,3,604,1900,10,6346.7,8.86,6040.5,8274.7,-77.4,-61.1,73.8,1.592,n
1,1,c,3,604,1900,11,6444.8,10.49,5810.2,8643.2,-67.7,-45.3,87.4,3.037,nnn
1,1,c,3,604,1900,12,6466.5,10.86,5902.3,8827.5,-67.3,-44.6,88.4,3.368,nnn
1,1,c,3,604,1900,13,6484,11.15,5994.5,8505,-65.6,-44.3,88.5,2.761,nnn
1,1,c,3,604,1900,14,6499.9,11.41,5879.3,8666.3,-66.9,-45.7,87.6,2.749,nnn
1,1,c,3,604,1900,15,6516.7,11.69,5764.1,8643.2,-68.1,-49.4,85.2,2.002,nnn
1,1,c,3,604,1900,16,6533.4,11.97,5902.3,8758.4,-70.1,-50,84,2.437,
1,1,c,4,605,1800,1,1782.4,0,5833.2,8389.9,-78.6,-63.4,74.3,2.125,f
1,1,c,4,605,1800,2,1799.7,0.29,5856.3,8274.7,-77.9,-64.3,74.9,2.161,f
1,1,c,4,605,1800,3,1814.2,0.53,6639.4,8551.1,-78.9,-67,70.8,1.292,ff
1,1,c,4,605,1800,4,1829.7,0.79,5971.4,8412.9,-78.5,-61.4,74.1,2.027,f
1,1,c,4,605,1800,5,1849.7,1.12,5925.4,8113.5,-77.5,-60.1,74.2,1.861,f
1,1,c,4,605,1800,6,1865.5,1.39,5879.3,8205.6,-77.9,-61.3,74,1.812,
1,1,c,5,605,1900,1,6908.5,0,5948.4,8620.2,-75.6,-60.7,76.5,1.702,f
1,1,c,5,605,1900,2,6925.8,0.29,5971.4,8459,-69.9,-50.5,83.2,2.223,n
1,1,c,5,605,1900,3,6945.4,0.62,6040.5,8274.7,-71.2,-53,81.4,2.229,n
1,1,c,5,605,1900,4,6967.9,0.99,6017.5,8228.6,-65.4,-42.5,86.6,2.021,nn
1,1,c,5,605,1900,5,6985.7,1.29,5925.4,8251.7,-60.8,-39.6,92.5,2.48,nn
1,1,c,5,605,1900,6,7003.9,1.59,5856.3,8459,-64.7,-43.6,89.3,2.584,nn
1,1,c,5,605,1900,7,7033.7,2.09,6063.6,8435.9,-58.7,-38.7,94.9,2.706,nn
2,2,c,1,528,1800,1,3.6,0,4727.7,9126.9,-85.1,-70.6,70,2.008,f
2,2,c,1,528,1800,2,9.9,0.1,4958,8988.7,-84.9,-69.1,69.5,1.868,f
2,2,c,1,528,1800,3,15.1,0.19,4842.8,8873.5,-83.5,-65,71.4,2.045,f
2,2,c,1,528,1800,4,25.4,0.36,4681.6,9725.8,-80.4,-56,76,2.394,n
2,2,c,1,528,1800,5,33.1,0.49,4681.6,9656.7,-79.7,-58.4,76.3,2.125,n
2,2,c,1,528,1800,6,38.8,0.59,4865.9,9103.9,-79.4,-56.7,76.7,2.584,n
2,2,c,1,528,1800,7,47.9,0.74,4244,9633.6,-81.4,-58.2,75.1,2.272,n
2,2,c,1,528,1800,8,56.8,0.89,4105.8,9956.1,-80.7,-54.4,77,2.706,
2,2,c,2,529,1800,1,491.8,0,4865.9,7652.8,-82.9,-62,68.9,1.476,f
2,2,c,2,529,1800,2,507.3,0.26,4888.9,7721.9,-81.9,-62.3,71.1,1.953,f
2,2,c,2,529,1800,3,525.2,0.56,4888.9,7791,-80.3,-60.6,72.5,1.8,f
2,2,c,2,529,1800,4,536,0.74,4773.7,7906.2,-72.2,-51.1,81.2,1.874,n
2,2,c,2,529,1800,5,551.8,1,4796.8,7745,-73.8,-51.5,79.6,2.027,n
2,2,c,2,529,1800,6,564.7,1.22,4819.8,7883.1,-72.3,-51.1,80.4,1.647,n
2,2,c,2,529,1800,7,578.8,1.45,4981,7791,-73.2,-52.8,79.3,1.739,n
2,2,c,2,529,1800,8,589.3,1.63,4773.7,7952.2,-69.4,-48.1,84.7,2.204,n
2,2,c,2,529,1800,9,708.8,3.62,4704.6,7698.9,-79.6,-60.1,72.9,1.635,f
2,2,c,2,529,1800,10,722.3,3.84,4704.6,7906.2,-70.6,-49.5,82.6,1.788,n
2,2,c,2,529,1800,11,735.9,4.07,4773.7,7906.2,-76.9,-57.9,76.6,1.904,f
2,2,c,2,529,1800,12,748.5,4.28,4727.7,7745,-67.7,-45.6,84.9,1.659,n
2,2,c,2,529,1800,13,759.4,4.46,4842.8,7883.1,-67.8,-47.2,85.7,1.965,n
2,2,c,2,529,1800,14,770.2,4.64,4819.8,7998.3,-68.1,-47.6,85.5,1.953,n
2,2,c,2,529,1800,15,781.9,4.84,4635.5,7837.1,-68.8,-49.6,84.8,1.959,n
2,2,c,2,529,1800,16,795,5.05,4796.8,7814,-70.3,-52.6,83,1.941,n
2,2,c,2,529,1800,17,809.7,5.3,4865.9,7768,-71.5,-52.1,81.4,1.837,n
2,2,c,2,529,1800,18,823.6,5.53,4773.7,8044.4,-72.7,-51.8,80.4,1.727,n
2,2,c,2,529,1800,19,838.9,5.79,4842.8,7929.2,-71.9,-51.6,81.6,1.99,n
2,2,c,2,529,1800,20,850.4,5.98,4773.7,7883.1,-69.8,-51.4,83.8,1.978,n
2,2,c,2,529,1800,21,1409.3,15.29,4865.9,8090.4,-84.3,-70.5,68.4,1.543,f
2,2,c,2,529,1800,22,1481.3,16.49,4911.9,8574.1,-83.8,-69.5,68.6,1.292,
2,2,c,3,530,630,1,7202,0,5510.8,8412.9,-84.4,-71.3,65.4,0.891,ff
2,2,c,3,530,630,2,7230.8,0.48,5695,8136.5,-84.6,-72.3,65.8,1.243,ff
2,2,c,3,530,630,3,7243.2,0.69,5533.8,8136.5,-84.3,-71.1,65.8,1.09,ff
2,2,c,3,530,630,4,7259.7,0.96,5695,8136.5,-84.6,-72.3,64.8,0.974,ff
2,2,c,3,530,630,5,7270.4,1.14,5533.8,8021.3,-84.2,-72.8,66.3,1.252,ff
2,2,c,3,530,630,6,7297.1,1.59,5695,8159.5,-84.4,-71.3,64.8,0.888,ff
2,2,c,3,530,630,7,7307.8,1.76,5602.9,8136.5,-83.8,-68.5,66.7,1.212,ff
2,2,c,3,530,630,8,7359.5,2.63,5487.8,7791,-83.3,-70.9,66.1,1.01,ff
2,2,c,3,530,630,9,7383.3,3.02,5672,8251.7,-83.9,-71.2,65.4,0.882,ff
2,2,c,3,530,630,10,7545.8,5.73,5050.1,8044.4,-79.9,-65.8,70.3,0.937,f
2,2,c,3,530,630,11,7851.4,10.82,5165.3,8113.5,-72.8,-57.1,79.1,1.47,n
2,2,c,3,530,630,12,7859.5,10.96,5096.2,7998.3,-69.2,-53.3,83.6,1.812,n
2,2,c,3,530,630,13,7867.4,11.09,5073.2,8113.5,-68.4,-50.7,84.8,1.898,n
2,2,c,3,530,630,14,7879.1,11.29,5096.2,8044.4,-64.3,-41.6,89.3,2.128,n
2,2,c,3,530,630,15,7898,11.6,5073.2,7998.3,-65,-44.9,87.8,1.77,n
2,2,c,3,530,630,16,7906.6,11.74,4981,8343.8,-62,-41.6,90.7,1.506,n
2,2,c,3,530,630,17,7918.3,11.94,5027.1,7998.3,-63.2,-46.3,89,1.503,n
2,2,c,3,530,630,18,7931.2,12.15,4935,7998.3,-58.2,-37.6,95.7,2.192,nn
2,2,c,3,530,630,19,7941.7,12.33,5004.1,8090.4,-55.7,-32.6,97.6,1.874,nn
2,2,c,3,530,630,20,7965.3,12.72,4981,8021.3,-59.5,-39.2,93.6,1.855,nn
2,2,c,3,530,630,21,7978.3,12.94,5096.2,8136.5,-66.6,-44.1,86.8,1.99,n
2,2,c,3,530,630,22,7993,13.18,4888.9,7998.3,-66.7,-47.7,86.4,1.794,
2,2,c,4,530,730,1,11253.3,0,5027.1,8205.6,-69.2,-48.9,84.8,2.177,n
2,2,c,4,530,730,2,11261.8,0.14,4842.8,8182.6,-67.6,-48.9,85.8,1.77,n
2,2,c,4,530,730,3,11270.2,0.28,5050.1,8251.7,-67.6,-48.6,86,1.935,n
2,2,c,4,530,730,4,11281.6,0.47,4958,8274.7,-67.1,-48.6,86.6,1.877,n
2,2,c,4,530,730,5,11292.1,0.65,5027.1,8274.7,-66.1,-47.3,87.5,1.941,n
2,2,c,4,530,730,6,11305.4,0.87,5096.2,8228.6,-63.7,-43.9,88.6,1.515,n
2,2,c,4,530,730,7,11323.1,1.16,4935,8067.4,-64.8,-46.2,88.3,1.742,n
2,2,c,4,530,730,8,11339,1.43,5004.1,8021.3,-65.1,-43.2,87.9,1.812,n
2,2,c,4,530,730,9,11356.1,1.71,4981,8136.5,-62,-41.6,91.3,1.868,n
2,2,c,4,530,730,10,11366.6,1.89,4911.9,8136.5,-62,-41.5,91.3,1.849,n
2,2,c,4,530,730,11,11388.1,2.25,5073.2,7906.2,-78.2,-64,73.9,1.601,f
2,2,c,4,530,730,12,11410,2.61,5004.1,8090.4,-80.2,-67.6,72,1.442,f
2,2,c,4,530,730,13,11423.1,2.83,5027.1,7768,-79.4,-66.4,71.5,1.234,f
2,2,c,4,530,730,14,11435,3.03,5395.6,7906.2,-79.8,-65.9,71.7,1.531,f
2,2,c,4,530,730,15,11464.1,3.51,5119.2,7952.2,-80.9,-66.7,70.2,1.277,f
2,2,c,4,530,730,16,11483,3.83,4958,8021.3,-80,-66.9,71.4,1.218,f
2,2,c,4,530,730,17,11497.3,4.07,5119.2,8274.7,-79.7,-65.9,71.6,1.157,f
2,2,c,4,530,730,18,11512.2,4.31,5234.4,7952.2,-79.1,-67,71.9,1.264,f
2,2,c,4,530,730,19,11524,4.51,5119.2,7814,-78.8,-66.5,72.2,1.243,f
2,2,c,4,530,730,20,11536.3,4.72,5096.2,7998.3,-79.1,-66.3,72.4,1.323,f
2,2,c,4,530,730,21,11549.1,4.93,5027.1,7929.2,-79.2,-66.3,72.4,1.347,f
2,2,c,4,530,730,22,11567.2,5.23,5165.3,7929.2,-78.2,-65.3,72.7,1.24,f
2,2,c,4,530,730,23,11582.2,5.48,5096.2,8090.4,-78.3,-64.8,72.3,1.047,f
2,2,c,4,530,730,24,11597.5,5.74,5165.3,8182.6,-79.5,-66.3,70.8,0.967,f
2,2,c,4,530,730,25,11609.6,5.94,5004.1,7998.3,-79.4,-67.6,72.7,1.482,f
2,2,c,4,530,730,26,11623.2,6.17,5142.3,8021.3,-79.4,-67.2,71.8,1.252,f
2,2,c,4,530,730,27,11636.9,6.39,4958,8136.5,-79.9,-66.1,72.2,1.387,f
2,2,c,4,530,730,28,11664,6.84,4911.9,8113.5,-80.4,-67.8,71.2,1.231,f
2,2,c,4,530,730,29,11678.4,7.09,5096.2,8159.5,-78.9,-66.4,72.6,1.231,f
2,2,c,4,530,730,30,11690.2,7.28,4981,7906.2,-78.9,-67.4,72.3,1.225,f
2,2,c,4,530,730,31,11702.1,7.48,5096.2,7814,-78.2,-64.9,71.3,0.882,f
2,2,c,4,530,730,32,11715.8,7.71,5027.1,7906.2,-78.7,-64.8,72.2,1.169,f
2,2,c,4,530,730,33,11729.7,7.94,4981,8021.3,-78.8,-65.7,72.6,1.264,f
2,2,c,4,530,730,34,11746.4,8.22,4819.8,8205.6,-79.3,-63.8,72.5,1.231,f
2,2,c,4,530,730,35,11759.3,8.43,4773.7,7998.3,-79.5,-67.1,72.8,1.421,f
2,2,c,4,530,730,36,11773.1,8.66,5142.3,7952.2,-79.4,-66.1,72.2,1.411,
2,2,c,5,530,930,1,3615.7,0,5573.9,8591.2,-83.9,-69.9,69.5,1.99,f
2,2,c,5,530,930,2,3626,0.17,5804.2,8775.4,-84.1,-72.1,69.6,2.161,f
2,2,c,5,530,930,3,3634.4,0.31,5458.7,8660.3,-84,-71.1,69.4,1.861,f
2,2,c,5,530,930,4,3646.2,0.51,5251.4,8637.2,-84.4,-72.2,69.3,1.898,f
2,2,c,5,530,930,5,3657.8,0.7,5573.9,8752.4,-85.1,-70.1,67.7,1.653,f
2,2,c,5,530,930,6,3666.3,0.84,5643,8798.5,-84.8,-70.6,68.1,1.751,f
2,2,c,5,530,930,7,3675.3,0.99,5481.8,8660.3,-84.8,-71.5,67.9,1.604,f
2,2,c,5,530,930,8,3683.6,1.13,5366.6,8314.8,-84.8,-70.7,67.5,1.598,f
2,2,c,5,530,930,9,3788.4,2.88,4998.1,8453,-85.4,-71.5,67.8,1.672,f
2,2,c,5,530,930,10,3830.8,3.59,5205.4,8476,-85.2,-72.8,67.3,1.482,f
2,2,c,5,530,930,12,3849.2,3.89,5366.6,8245.7,-85,-69.2,66.6,1.414,f
2,2,c,5,530,930,13,3995.1,6.32,5873.3,8844.5,-84.3,-68.7,68.9,1.886,f
2,2,c,5,530,930,14,4002.9,6.45,4952,8683.3,-84.4,-67.9,69.4,1.763,f
2,2,c,5,530,930,15,4011.5,6.6,5021.1,9028.8,-84.7,-66.5,69.9,1.929,f
2,2,c,5,530,930,16,4019.6,6.73,5573.9,8683.3,-84.3,-65.3,68.5,1.69,f
2,2,c,5,530,930,17,4039.2,7.06,4929,9051.8,-84.8,-70,69.6,1.837,f
2,2,c,5,530,930,18,4045.9,7.17,5573.9,9120.9,-84.8,-68.7,69.1,1.88,f
2,2,c,5,530,930,19,4055.6,7.33,5550.9,8545.1,-85.2,-73.5,67.7,1.77,f
2,2,c,5,530,930,20,4083.2,7.79,5297.5,8591.2,-85,-70.8,68.7,1.941,f
2,2,c,5,530,930,21,4092.2,7.94,5182.3,8568.1,-85.1,-71.1,68.4,1.819,f
2,2,c,5,530,930,22,4099.7,8.07,5804.2,8084.5,-84.5,-68.4,67.3,1.788,f
2,2,c,5,530,930,23,4124.6,8.48,5758.2,8591.2,-84.4,-68.5,68.2,1.782,f
2,2,c,5,530,930,24,4132.5,8.61,5458.7,8291.7,-84.6,-69.1,68.4,1.959,f
2,2,c,5,530,930,25,4139.2,8.73,5159.3,8568.1,-84.6,-68.7,69.3,2.014,f
2,2,c,5,530,930,26,4146.1,8.84,5044.1,8982.7,-84.4,-68.9,69.9,1.892,f
2,2,c,5,530,930,27,4153.4,8.96,5159.3,8890.6,-84.7,-67.9,69.7,2.07,f
2,2,c,5,530,930,28,4161.5,9.1,5389.6,8775.4,-84.9,-70.9,68.3,1.69,f
2,2,c,5,530,930,29,4169.2,9.23,5343.6,8706.3,-84.5,-68.3,68.8,1.745,f
2,2,c,5,530,930,30,4178.7,9.38,5643,8683.3,-84.8,-70.5,68.5,1.959,f
2,2,c,5,530,930,31,4188.4,9.55,5205.4,8729.4,-85.2,-69.7,69,2.033,f
2,2,c,5,530,930,32,4195.9,9.67,4975,9190,-84.7,-68.5,70.6,2.192,f
2,2,c,5,530,930,33,4206.1,9.84,5067.2,8453,-85,-69.2,69,2.002,f
2,2,c,5,530,930,34,4216.7,10.02,4813.8,9028.8,-85.2,-68.5,69,1.708,f
2,2,c,5,530,930,35,4224.7,10.15,5251.4,8890.6,-85.1,-71.2,68.4,1.727,f
2,2,c,5,530,930,36,4255,10.66,5320.5,8199.6,-84.8,-69.7,68.4,1.978,f
2,2,c,5,530,930,37,4262.8,10.79,5643,8568.1,-85.1,-70.5,67.4,1.653,f
2,2,c,5,530,930,38,4272.6,10.95,4721.7,8660.3,-85.1,-68.5,69.4,1.923,f
2,2,c,5,530,930,39,4290.5,11.25,5044.1,8798.5,-85,-68.8,68.2,1.518,f
2,2,c,5,530,930,40,4297.7,11.37,5113.2,8729.4,-85.1,-69.6,68.9,1.874,f
2,2,c,5,530,930,41,5194.8,26.32,5182.3,8591.2,-85.3,-71.3,68.4,1.904,
3,3,e,1,531,1800,1,122.4,0,5050.1,8412.9,-82.3,-64.2,71.6,2.021,f
3,3,e,1,531,1800,2,128.6,0.1,4658.6,7883.1,-81.1,-64.1,72.6,1.929,f
3,3,e,1,531,1800,3,144,0.36,5280.5,8528.1,-82,-63.4,71,1.696,f
3,3,e,1,531,1800,4,150.2,0.46,5142.3,8343.8,-82.8,-66.1,70.3,1.708,f
3,3,e,1,531,1800,5,162.1,0.66,4865.9,8597.2,-81,-63.7,72.9,1.806,f
3,3,e,1,531,1800,6,169.1,0.78,5004.1,8781.4,-80.6,-60.9,74.6,2.406,n
3,3,e,1,531,1800,7,176,0.89,4566.4,8505,-81.2,-62.2,74,2.296,n
3,3,e,1,531,1800,8,186.8,1.07,4750.7,8712.3,-81,-58.9,74,2.241,n
3,3,e,1,531,1800,9,217.8,1.59,5257.4,8343.8,-82.7,-66,71.1,2.125,f
3,3,e,1,531,1800,10,235.9,1.89,4865.9,8366.8,-81.6,-67.6,72.6,2.039,f
3,3,e,1,531,1800,11,243.5,2.02,4681.6,8528.1,-82.9,-68,71,1.757,f
3,3,e,1,531,1800,12,249.9,2.13,4681.6,8320.8,-80.9,-65.3,72,1.451,f
3,3,e,1,531,1800,13,257.4,2.25,4888.9,8666.3,-81.6,-62.5,72.8,2.021,f
3,3,e,1,531,1800,14,266.6,2.4,4796.8,8551.1,-81.5,-64,72.6,1.855,f
3,3,e,1,531,1800,15,301.8,2.99,4750.7,8251.7,-81.3,-61.9,72.6,1.904,f
3,3,e,1,531,1800,16,311.9,3.16,4865.9,8113.5,-67,-51.5,86.2,1.708,nn
3,3,e,1,531,1800,17,319.2,3.28,4727.7,8228.6,-80.6,-64.7,72.8,1.708,f
3,3,e,1,531,1800,18,366.8,4.07,4635.5,8228.6,-83.1,-70.6,69.5,1.396,f
3,3,e,1,531,1800,19,552.5,7.17,4474.3,8297.7,-82.6,-66.2,72,2.082,f
3,3,e,1,531,1800,20,558.7,7.27,4313.1,8620.2,-82,-65.3,73.4,2.265,f
3,3,e,1,531,1800,21,565.8,7.39,4336.1,8182.6,-82.8,-65.7,71.5,1.904,f
3,3,e,1,531,1800,22,573.8,7.52,4405.2,8366.8,-82.7,-64.5,72.4,2.192,f
3,3,e,1,531,1800,23,596.2,7.9,4819.8,8274.7,-83,-67.3,70.7,1.843,f
3,3,e,1,531,1800,24,646.5,8.74,4658.6,8159.5,-82.5,-67.5,71.6,1.953,f
3,3,e,1,531,1800,25,652.5,8.84,4566.4,8274.7,-82,-63.1,71.8,1.733,f
3,3,e,1,531,1800,26,689.2,9.45,4428.3,8320.8,-83.1,-65.5,71.6,2.088,f
3,3,e,1,531,1800,27,696.9,9.58,4911.9,8205.6,-83.2,-66.6,70.3,1.861,f
3,3,e,1,531,1800,28,703.9,9.69,4819.8,8712.3,-82.9,-64.4,71.7,2.021,f
3,3,e,1,531,1800,29,727.9,10.09,4543.4,7998.3,-82.3,-63.2,71.7,1.978,f
3,3,e,1,531,1800,31,749.2,10.45,4658.6,8159.5,-83.7,-69.2,69.7,1.672,f
3,3,e,1,531,1800,32,755.9,10.56,4520.4,8274.7,-83.4,-69.6,70.4,1.733,f
3,3,e,1,531,1800,33,761.8,10.66,4543.4,8528.1,-82.8,-63.9,71.7,1.972,f
3,3,e,1,531,1800,34,785.3,11.05,4773.7,8366.8,-83.1,-66.2,71.1,1.947,f
3,3,e,1,531,1800,35,793.4,11.18,4474.3,8320.8,-83.5,-67.9,71.2,2.088,f
3,3,e,1,531,1800,36,802.6,11.34,4566.4,8435.9,-83.5,-65.6,70.9,1.978,f
3,3,e,1,531,1800,37,820.3,11.63,4520.4,8482,-83.9,-66.1,70.4,1.898,f
3,3,e,1,531,1800,38,840,11.96,4704.6,8505,-83.9,-69.4,70.8,2.174,f
3,3,e,1,531,1800,39,855.4,12.22,4612.5,8712.3,-84.4,-68.9,70.3,1.978,f
3,3,e,1,531,1800,40,1985.8,31.06,4888.9,8551.1,-80.7,-64.2,71.9,1.365,f
3,3,e,2,601,730,1,12835.5,0,4819.8,7998.3,-83.1,-69.6,70.4,1.935,f
3,3,e,2,601,730,2,12876.4,0.68,4819.8,8136.5,-79.2,-63.7,73.2,1.457,f
3,3,e,2,601,730,3,12916.2,1.35,4612.5,8205.6,-81.6,-68.6,71.3,1.482,f
